品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
CA125315,CA125315.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ25A3,×,NY,店舗・EC,"9,200",25AW,2025年1月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125316,CA125316.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25A3,×,NY,店舗・EC,"9,500",25AW,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA525301,CA525301.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗﾄｯﾌﾟ25A1,×,NY,店舗・EC,"7,500",25AW,2025年7月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中
CA126101,CA126101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年1月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA126102,CA126102.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ26S1,×,NY,店舗・EC,"11,000",26SS,2026年1月,通年,1,あり,一般,見せない,日中,5,自然,強
CA126103,CA126103.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｿﾌﾄｽﾃｯﾌﾟ1ﾌﾞﾗ26S1,×,NY,店舗・EC,"11,000",26SS,2026年2月,通年,1,あり,一般,見せない,日中,5,自然,弱
CA126104,CA126104.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年2月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA126105,CA126105.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾛｰｽﾞｽﾃｯﾌﾟ2ﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年2月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA126106,CA126106.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S1,×,NY,店舗・EC,"11,000",26SS,2026年2月,通年,0,なし,一般,見せない,日中,4,高さ,中
CA126107,CA126107.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳﾞｨｵﾗｽﾃｯﾌﾟ3ﾌﾞﾗ26S1,×,NY,店舗・EC,"14,000",26SS,2026年3月,通年,3,あり,一般,見せない,日中,5,高さ,強
CA126108,CA126108.jpg,ﾌﾞﾗﾃﾞﾘｽ ｴﾘﾝﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年3月,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,強
CA126109,CA126109.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ26S2,×,NY,店舗・EC,"11,000",26SS,2026年3月,通年,1,あり,一般,見せない,日中,5,自然,強
CA126110,CA126110.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ26S2,×,NY,店舗・EC,"12,000",26SS,2026年4月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA126111,CA126111.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年4月,通年,1,あり,一般,見せない,日中,5,自然,中
CA126112,CA126112.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｸﾘｰﾝｽﾃｯﾌﾟ3ﾌﾞﾗ26S1,×,NY,店舗・EC,"15,000",26SS,2026年5月,通年,3,あり,一般,見せない,日中,5,高さ/自然,中
CA126113,CA126113.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ26S2,×,NY,店舗・EC,"12,000",26SS,2026年6月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA126114,CA126114.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾐﾆﾏｲｻﾞｰﾌﾞﾗ26S1,×,NY,店舗・EC,"12,000",26SS,2026年6月,通年,なし,あり,グラマー,見せない,日中,4,自然,弱
CA126115,CA126115.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S2,×,NY,店舗・EC,"11,000",26SS,2026年4月,通年,0,なし,一般,見せない,日中,4,高さ,中
CA526101,CA526101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ26S1,×,NY,店舗・EC,"8,000",26SS,2026年3月,夏,0,なし,一般,見せる,日中,3,高さ/自然,中
CA02519,CA02519.jpg,STEPモールド26S1ブラ,×,NY,店舗・EC,"10,000",26SS,2026年4月,夏,1,あり,一般,見せない,日中,4,自然,強
DB124201,DB124201.jpg,すらっと細みえﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,○,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中
DB124202,DB124202.jpg,すらっと細みえｽﾑｰｽﾞｶｯﾌﾟﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,○,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中
DB124302,DB124302.jpg,やさしくﾊﾞｽﾄｷｬｯﾁ綿混ﾉﾝﾜｲﾔｰﾌﾞﾗ24,○,PEACE,テレビ・EC,"6,300",通年QVC,2024年9月,通年,0,なし,一般,見せない,日中,4,自然,中
DB125401,DB125401.jpg,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,○,PEACE,テレビ・EC,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB125101,DB125101.jpg,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,○,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB125102,DB125102.jpg,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,○,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
