品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,Rep,cluster,medoid_score,tsne_x,tsne_y,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
ME525304,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾛｱﾌﾞﾗｷｬﾐ,Me,店舗・EC,"6,500",2025AW,2025年9月,冬,0,なし,一般,見せる,日中,2,自然,弱,B,.,0,2,1.4142135623730951,0.16258231,0.8956158,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52
ME525305,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,1,2,0,0.13712484,0.3123393,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261
ME526101,ﾌﾞﾗﾃﾞﾘｽ Lacy Tube Top,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,2,自然,中,B,.,0,2,0,0.13712484,0.3123393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG02503,リブブラタンクトップ,MAGIC,EC,"5,400",定番,2026年2月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,0,2,0,0.13712484,0.3123393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG07501,Newイージーナイト,MAGIC,EC,"5,000",定番,2026年3月予定,通年,0,なし,プチ~一般,見せない,就寝,1,自然,弱,A,.,0,0,2.337204995295367,0.6158507,0.97359824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG07502,ひんやりブラキャミ,MAGIC,EC,"5,400",定番,2026年4月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,0,2,0,0.13712484,0.3123393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG07504,ミニマイザー,MAGIC,EC,"6,300",定番,2026年3月予定,通年,0,なし,グラマー,見せない,日中,2,自然,弱,A,.,0,0,1.4142135623730951,0.330402,0.8081778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG07505,Aラインブラトップ,MAGIC,EC,"5,600",定番,2026年3月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,0,2,0,0.13712484,0.3123393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG122201,ｼｰﾑﾚｽﾊｰﾄｶｯﾌﾟﾌﾞﾗ,MAGIC,EC,"4,800",定番,2022年,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,◎,1,7,1.4142135623730951,0.84047484,0.47234726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG124301,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰﾅｲﾄﾌﾞﾗ,MAGIC,EC,"6,300",定番,2024年9月,通年,0,なし,プチ~一般,見せない,all,2,自然,弱,A,〇,0,0,2,0.5511818,0.87249184,0,0,0,31,0,0,0,0,0,0,0,0,31,31,31
MG125201,ﾌﾛｰﾗﾙﾌｨｯﾄﾉﾝﾜｲﾔｰﾌﾞﾗ,MAGIC,EC,"6,300",2025SS,2025年7月,通年,0,なし,一般,見せない,日中,3,高さ/自然,中,A,.,0,6,1.4142135623730951,0.5149452,0.29669082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG125301,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｽｷﾝﾌﾞﾗ,MAGIC,EC,"6,800",定番,2025年10月予定,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,.,0,7,1.4142135623730951,0.84047484,0.47234726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
