ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
Me,店舗・EC,ME123103,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨｵｰﾙｲﾝﾜﾝﾌﾞﾗ,画像,"5,400",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,〇,4,1.414213562,0.9240679,0.82475126,0,559,591,621,568,492,603,431,474,356,522,689,568,6474,"1,771",590
Me,店舗・EC,ME124103,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾗｲﾄﾌﾞﾗ,画像,"5,200",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,〇,4,0.172751288,0.92016315,0.97594714,0,103,79,81,111,96,179,264,342,552,777,633,223,3440,263,87
Me,店舗・EC,ME124301,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗ24A1,画像,"5,700",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中,C,,4,1.437757548,0.8383749,0.8412612,0,167,127,126,106,92,112,130,125,16,0,0,0,1001,420,140
Me,店舗・EC,ME124302,ﾌﾞﾗﾃﾞﾘｽ ﾌﾛﾝﾄﾎｯｸﾌﾞﾗ24A1,画像,"5,000",2024AW,2024年9月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,1,1.455806316,0.68776774,0.60876685,0,211,142,94,70,68,93,76,79,127,15,0,0,975,447,149
Me,店舗・EC,ME124303,ﾌﾞﾗﾃﾞﾘｽ WithMeﾌﾞﾗ24A1,画像,"5,500",2024AW,2024年10月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,C,,1,0.086375644,0.800481,0.6289773,0,438,385,371,207,123,137,68,58,42,49,0,0,1878,"1,194",398
Me,店舗・EC,ME124304,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰｻﾎﾟｰﾄﾌﾞﾗ,画像,"4,500",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱,A,〇,6,0.43187822,0.48894656,0.1923629,0,"1,313","1,179","1,016",861,653,826,687,809,852,843,723,696,10458,"3,508","1,169"
Me,店舗・EC,ME125101,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾊﾞｯｸｽﾑｰｽﾞﾌﾞﾗ25S1,画像,"6,000",2025SS,2025年1月,通年,0,なし,一般~グラマー,見せない,日中,4,高さ,強,B,,4,2.503714654,0.964616,0.73338985,0,0,0,0,143,380,373,256,205,160,18,0,0,1535,896,298
Me,店舗・EC,ME125102,ﾌﾞﾗﾃﾞﾘｽ Plushﾌﾞﾗ25S1,画像,"5,400",2025SS,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,B,,1,0,0.7486353,0.66465133,0,0,0,0,0,0,0,174,286,348,285,238,170,1501,808,269
Me,店舗・EC,ME125301,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗ,画像,"5,500",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,〇,1,1.416848881,0.7212813,0.77483517,1,0,0,0,0,0,0,0,0,0,492,646,471,1609,"1,609",536
Me,店舗・EC,ME125302,ﾌﾞﾗﾃﾞﾘｽ Sweet Night Bra,画像,"5,800",2025AW,2025年8月,通年,0,なし,一般,見せない,就寝,3,高さ/自然,中,B,,1,2.029623618,0.87291527,0.58052826,0,0,0,0,0,0,0,0,0,0,0,218,"1,084",1302,"1,302",651
