品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep
YH09501,2025年5月TPﾌﾞﾗ,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0,0.65263164,0.13270175,0
YH124201,ゆきねえﾓｱｿﾌﾄ快適ﾎｰﾙﾄﾞﾌﾞﾗ24,Yukine. Inc.,テレビ・EC,"3,900",2024AW,2024年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,3,0.604629508,0.668409,0,0
YH124301,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗ24,Yukine. Inc.,テレビ・EC,"3,800",2024AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,3,0.691005151,0.7208566,0.06386578,0
YH125201,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾗｲﾄﾌﾞﾗ25,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0,0.65263164,0.13270175,0
YH125401,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗ25,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0,0.65263164,0.13270175,0
YH524101,ゆきねえﾓｱｿﾌﾄ快適ﾊﾞｽﾄﾎｰﾙﾄﾞｼｪｲﾌﾟﾌﾞﾗｷｬﾐ24,Yukine. Inc.,テレビ・EC,"5,200",2024AW,2024年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,3,0.518253864,0.58569264,0.052688837,0
YH524301,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ24,Yukine. Inc.,テレビ・EC,"4,600",2024AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,3,0,0.65263164,0.13270175,0
YH525101,ゆきねえﾓｱｿﾌﾄ快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,Yukine. Inc.,テレビ・EC,"5,200",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0.518253864,0.58569264,0.052688837,1
YH525301,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,Yukine. Inc.,テレビ・EC,"5,200",2025SS,2025年10月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0.518253864,0.58569264,0.052688837,1
YH525401,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗｷｬﾐ25,Yukine. Inc.,テレビ・EC,"5,200",2025SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,3,0.518253864,0.58569264,0.052688837,0
