品番,店舗展開,写真,名前,cluster,medoid_score,tsne_x,tsne_y,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,Shop_初速3か月（月割）,Shop_初速3か月（平均）,EC_初速3か月（月割）,EC_初速3か月（平均）,Shop&EC_初速3か月（月割）,Sho&EC_初速3か月（平均）,top10
ME123102,1.0,ME123102.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗ23S1,1,0.004937597,0.9449717,0.7082522,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般,見せない,日中,5,高さ,2950.0,983.0,3524.0,1174.0,6474.0,2157.0,1
ME123103,1.0,ME123103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨｵｰﾙｲﾝﾜﾝﾌﾞﾗ,1,0.004665481,0.7949991,0.93323725,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,1771.0,590.0,1159.0,386.0,2930.0,976.0,0
ME124103,1.0,ME124103.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾗｲﾄﾌﾞﾗ,1,0.00877789,0.9545827,0.97278404,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,263.0,87.0,480.0,160.0,743.0,247.0,0
ME124301,1.0,ME124301.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗ24A1,1,0.0,0.8829798,0.8925184,Me,店舗・EC,"5,700",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,420.0,140.0,75.0,25.0,495.0,165.0,0
ME124302,1.0,ME124302.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾛﾝﾄﾎｯｸﾌﾞﾗ24A1,3,0.012513765,0.0,0.675467,Me,店舗・EC,"5,000",2024AW,2024年9月,通年,0,なし,プチ~一般,見せない,日中,3,自然,447.0,149.0,208.0,69.0,655.0,218.0,0
ME124303,1.0,ME124303.jpg,ﾌﾞﾗﾃﾞﾘｽ WithMeﾌﾞﾗ24A1,4,3.2927225399135965e-10,0.44504082,0.7249236,Me,店舗・EC,"5,500",2024AW,2024年10月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,1194.0,398.0,324.0,108.0,1518.0,506.0,0
ME124304,1.0,ME124304.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰｻﾎﾟｰﾄﾌﾞﾗ,0,0.011502744,0.29957932,0.22062624,Me,店舗・EC,"4,500",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,3508.0,1169.0,766.0,255.0,4274.0,1424.0,0
ME125101,1.0,ME125101.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾊﾞｯｸｽﾑｰｽﾞﾌﾞﾗ25S1,1,0.00276631,0.994936,0.780658,Me,店舗・EC,"6,000",2025SS,2025年1月,通年,0,なし,一般~グラマー,見せない,日中,4,高さ,896.0,298.0,359.0,119.0,1255.0,417.0,0
ME125102,1.0,ME125102.jpg,ﾌﾞﾗﾃﾞﾘｽ Plushﾌﾞﾗ25S1,4,0.00688978,0.3826431,0.6573023,Me,店舗・EC,"5,400",2025SS,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,808.0,269.0,256.0,85.0,1064.0,354.0,0
ME125301,1.0,ME125301.jpg,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗ,4,0.011748019,0.35600942,0.77540207,Me,店舗・EC,"5,500",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,1609.0,536.0,646.0,215.0,2255.0,751.0,0
ME125302,1.0,ME125302.jpg,ﾌﾞﾗﾃﾞﾘｽ Sweet Night Bra,1,0.036224586,0.76591015,0.65371066,Me,店舗・EC,"5,800",2025AW,2025年8月,通年,0,なし,一般,見せない,就寝,3,高さ/自然,1302.0,651.0,257.0,257.0,1559.0,908.0,0
ME125303,1.0,ME125303.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰﾎｰﾙﾄﾞﾌﾞﾗ,0,0.016041894,0.21439719,0.20463115,Me,店舗・EC,"5,000",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME126101,1.0,ME126101.jpg,ﾌﾞﾗﾃﾞﾘｽ Dreamy Night Bra,4,0.027709993,0.3302189,0.5633271,Me,店舗・EC,"6,000",2026SS,2026年2月,通年,0,なし,プチ,見せない,就寝,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME126103,1.0,ME126103.jpg,ﾌﾞﾗﾃﾞﾘｽ Lovely Back Bra26S1,2,0.000624955,0.97378075,0.1321209,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,プチ~一般,見せる,日中,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME126104,1.0,ME126104.jpg,ﾌﾞﾗﾃﾞﾘｽ Lacy Cool Bra26S1,2,0.000624955,0.97378075,0.1321209,Me,店舗・EC,"6,000",2026SS,2026年3月,夏,0,なし,一般~グラマー,見せる,日中,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME518306,1.0,ME518306.jpg,BRADELISHUGME Bra Camisole,4,0.0,0.44504082,0.7249236,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,253.0,84.0,680.0,226.0,933.0,310.0,0
ME522301,1.0,ME522301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗｷｬﾐ,1,0.004665481,0.7949991,0.93323725,Me,店舗・EC,"5,800",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,1544.0,514.0,1302.0,434.0,2846.0,948.0,1
